Experiment,width of patch,width of substrate,length of substrate,width of slot,Length of slot,Length of patch,Simulation tool used,Dielectric constant,Thickness of substrate,Resultant Frequency (GHz),Return Loss (S11) dB,gain (dBi),Substrate Material,,,,,,,,,
92,37.88,43.97,37.36,0.094,4,35.26,CST,3.8,0.175,2.43,-17,5.38,PET,,,,,,,,,
93,37.88,44.44,35.5,0.11,5,35.26,CST,3.8,0.175,2.765,-0.78,0.3,PET,,,,,,,,,
94,37.88,44.92,35.9,0.125,6,35.26,CST,3.8,0.175,2.75,-2.05,0.1,PET,,,,,,,,,
95,37.88,45.39,36.43,0.0625,7,35.26,CST,3.8,0.175,2.435,-13.5,4.75,PET,,,,,,,,,
96,43.29,43.5,37.36,0.11,6,35.26,CST,3.8,0.175,2.43,-23.25,5.52,PET,,,,,,,,,
97,43.29,43.97,35.5,0.125,7,35.26,CST,3.8,0.175,2.7,-1.5,0.3,PET,,,,,,,,,
98,43.29,44.44,35.9,0.0625,8,35.26,CST,3.8,0.175,2.63,-2.3,0.3,PET,,,,,,,,,
99,43.29,44.92,36.43,0.078,4,35.26,CST,3.8,0.175,2.43,-18.46,5.12,PET,,,,,,,,,
100,43.29,45.39,36.89,0.094,5,35.26,CST,3.8,0.175,2.43,-20.89,5.32,PET,,,,,,,,,
101,18.63,23.4,39.26,0.25,1.515,35.26,CST,3.8,0.175,2.44,-24.93,0.1,PET,,,,,,,,,
102,18.63,35.1,44.17,0.37,2.27,35.26,CST,3.8,0.175,2.48,-20.02,3,PET,,,,,,,,,
103,18.63,46.8,49.07,0.5,3.03,35.26,CST,3.8,0.175,2.48,-11.8,3.2,PET,,,,,,,,,
104,18.63,58.5,53.83,0.62,3.79,35.26,CST,3.8,0.175,2.54,-10.96,4,PET,,,,,,,,,
105,18.63,70.2,58.89,0.75,4.545,35.26,CST,3.8,0.175,2.58,-12.7,0.01,PET,,,,,,,,,
106,27.94,23.4,44.17,0.5,3.79,35.26,CST,3.8,0.175,2.42,-23.69,4.43,PET,,,,,,,,,
107,27.94,35.1,49.07,0.62,4.545,35.26,CST,3.8,0.175,2.44,-28.71,4,PET,,,,,,,,,
108,27.94,46.8,53.83,0.75,1.515,35.26,CST,3.8,0.175,2.38,-8.91,3,PET,,,,,,,,,
109,27.94,58.5,58.89,0.25,2.27,35.26,CST,3.8,0.175,2.4,-29.32,0.1,PET,,,,,,,,,
110,27.94,70.2,39.26,0.37,3.03,35.26,CST,3.8,0.175,2.42,-23.81,4.51,PET,,,,,,,,,
111,37.26,23.4,49.07,0.75,2.27,35.26,CST,3.8,0.175,2.4,-10.76,4.83,PET,,,,,,,,,
112,37.26,35.1,53.83,0.25,3.03,35.26,CST,3.8,0.175,2.38,-14.39,5.22,PET,,,,,,,,,
113,37.26,46.8,58.89,0.37,3.79,35.26,CST,3.8,0.175,2.36,-16.44,4.83,PET,,,,,,,,,
114,37.26,58.5,39.26,0.5,4.545,35.26,CST,3.8,0.175,2.36,-23.7,5.22,PET,,,,,,,,,
115,37.26,70.2,44.17,0.62,1.515,35.26,CST,3.8,0.175,2.3,-7.64,5.15,PET,,,,,,,,,
116,46.57,23.4,53.83,0.37,4.545,35.26,CST,3.8,0.175,2.3,-29.79,6.75,PET,,,,,,,,,
117,46.57,35.1,58.89,0.5,1.515,35.26,CST,3.8,0.175,2.32,-10.89,6.56,PET,,,,,,,,,
118,46.57,46.8,39.26,0.62,2.27,35.26,CST,3.8,0.175,2.26,-8.08,6.35,PET,,,,,,,,,
119,46.57,58.5,44.17,0.75,3.03,35.26,CST,3.8,0.175,2.56,-22.19,6,PET,,,,,,,,,
120,46.57,70.2,49.07,0.25,3.79,35.26,CST,3.8,0.175,2.34,-14.96,4,PET,,,,,,,,,
121,55.89,23.4,58.89,0.62,3.03,35.26,CST,3.8,0.175,2.66,-22.45,6.48,PET,,,,,,,,,
122,55.89,35.1,39.26,0.75,3.79,35.26,CST,3.8,0.175,2.48,-18.94,6.27,PET,,,,,,,,,
123,55.89,46.8,44.17,0.25,4.545,35.26,CST,3.8,0.175,2.32,-19.98,6,PET,,,,,,,,,
124,55.89,58.5,49.07,0.37,1.515,35.26,CST,3.8,0.175,2.58,-10.89,3,PET,,,,,,,,,
125,55.89,70.2,53.83,0.5,2.27,35.26,CST,3.8,0.175,2.58,-18.99,6,PET,,,,,,,,,
126,24.19,48.50,41.24,0.63,4.93,40.47,CST,2.2,1.58,2.52,-2.68,6,RT duroid,,,,,,,,,
127,24.19,51.47,44.04,0.78,6.16,40.47,CST,2.2,1.58,2.5,-2.57,6,RT duroid,,,,,,,,,
128,24.19,54.44,46.85,0.94,7.39,40.47,CST,2.2,1.58,2.5,-2.82,3,RT duroid,,,,,,,,,
129,24.19,57.40,49.66,1.09,8.62,40.47,CST,2.2,1.58,2.54,-3.12,6.75,RT duroid,,,,,,,,,
130,24.19,60.37,52.47,1.25,9.85,40.47,CST,2.2,1.58,2.55,-3.45,6.56,RT duroid,,,,,,,,,
131,30.23,48.50,44.04,0.94,8.62,40.47,CST,2.2,1.58,2.5,-5.26,6.35,RT duroid,,,,,,,,,
132,30.23,51.47,46.85,1.09,9.85,40.47,CST,2.2,1.58,2.5062,-6.37,6,RT duroid,,,,,,,,,
133,30.23,54.44,49.66,1.25,4.93,40.47,CST,2.2,1.58,2.47,-3.94,4,RT duroid,,,,,,,,,
134,30.23,57.40,52.47,0.63,6.16,40.47,CST,2.2,1.58,2.48,-3.8,6.48,RT duroid,,,,,,,,,
135,30.23,60.37,41.24,0.78,7.39,40.47,CST,2.2,1.58,3.17,-5.06,6.27,RT duroid,,,,,,,,,
136,36.28,48.50,46.85,1.25,6.16,40.47,CST,2.2,1.58,2.46,-7.14,6,RT duroid,,,,,,,,,
137,36.28,51.47,49.66,0.63,7.39,40.47,CST,2.2,1.58,2.465,-6.8,3,RT duroid,,,,,,,,,
138,36.28,54.44,52.47,0.78,8.62,40.47,CST,2.2,1.58,2.475,-7.39,6,RT duroid,,,,,,,,,
139,36.28,57.40,41.24,0.94,9.85,40.47,CST,2.2,1.58,3.34,-6.557,6,RT duroid,,,,,,,,,
140,36.28,60.37,44.04,1.09,4.93,40.47,CST,2.2,1.58,2.45,-5.65,6,RT duroid,,,,,,,,,
141,42.32,48.50,49.66,0.78,9.85,40.47,CST,2.2,1.58,2.45,-15.43,3,RT duroid,,,,,,,,,
142,42.32,51.47,52.47,0.94,4.93,40.47,CST,2.2,1.58,2.44,-8,4.83,RT duroid,,,,,,,,,
143,42.32,54.44,41.24,1.09,6.16,40.47,CST,2.2,1.58,3.2,-6.74,5.22,RT duroid,,,,,,,,,
144,42.32,57.40,44.04,1.25,7.39,40.47,CST,2.2,1.58,2.45,-9.9,5.15,RT duroid,,,,,,,,,
145,42.32,60.37,46.85,0.63,8.62,40.47,CST,2.2,1.58,2.45,-10.458,5.38,RT duroid,,,,,,,,,
146,48.37,48.50,52.47,1.09,7.39,40.47,CST,2.2,1.58,2.44,-18.63,0.3,RT duroid,,,,,,,,,
147,48.37,51.47,41.24,1.25,8.62,40.47,CST,2.2,1.58,3.19,-6.61,0.1,RT duroid,,,,,,,,,
148,48.37,54.44,44.04,0.63,9.85,40.47,CST,2.2,1.58,2.435,-19.94,4.75,RT duroid,,,,,,,,,
149,48.37,57.40,46.85,0.78,4.93,40.47,CST,2.2,1.58,2.42,-10.54,3,RT duroid,,,,,,,,,
150,48.37,60.37,49.66,0.94,6.16,40.47,CST,2.2,1.58,2.43,-11.155,6,RT duroid,,,,,,,,,
151,22.50,46.48,45.91,0.37,8.77,35.89,HFSS,2.6,1.5,2.59,-19.23,-1.21,Benzocyclobutane,,,,,,,,,
152,26.75,64.85,38.41,0.37,5.68,35.89,HFSS,2.6,1.5,2.59,-18.23,-0.46,Benzocyclobutane,,,,,,,,,
153,40.74,56.67,41.62,1.12,6.07,40.47,HFSS,2.6,1.58,2.30,-11.88,0.85,Benzocyclobutane,,,,,,,,,
154,35.09,31.93,44.43,0.52,3.34,31,HFSS,2.6,0.175,3.00,-9.22,1.36,Benzocyclobutane,,,,,,,,,
155,22.36,57.12,54.52,0.73,6.49,35.89,HFSS,2.6,1.5,2.59,-25.04,-1.23,Benzocyclobutane,,,,,,,,,
156,41.53,45.61,34.96,0.08,4.16,35.26,HFSS,2.6,0.175,2.64,-5.88,1.53,Benzocyclobutane,,,,,,,,,
157,40.29,48.96,48.39,0.74,9.39,40.47,HFSS,2.6,1.58,2.30,-29.01,0.80,Benzocyclobutane,,,,,,,,,
158,19.09,25.74,30.42,0.25,3.31,31,HFSS,2.6,0.175,3.00,-21.09,-1.28,Benzocyclobutane,,,,,,,,,
159,20.73,30.79,32.82,0.36,4.03,31,HFSS,2.6,0.175,3.00,-11.38,-0.93,Benzocyclobutane,,,,,,,,,
160,27.55,39.06,44.96,0.26,6.73,35.89,HFSS,2.6,1.5,2.59,-18.59,-0.33,Benzocyclobutane,,,,,,,,,
161,24.01,47.17,42.62,0.25,3.95,31,HFSS,2.6,0.175,3.00,-6.98,-0.29,Benzocyclobutane,,,,,,,,,
162,43.66,58.89,45.70,0.64,8.40,40.47,HFSS,2.6,1.58,2.30,-25.69,1.15,Benzocyclobutane,,,,,,,,,
163,39.71,53.13,39.62,0.48,3.87,31,HFSS,2.6,0.175,3.00,-12.26,1.90,Benzocyclobutane,,,,,,,,,
164,27.92,55.98,60.25,0.25,2.19,35.26,HFSS,2.6,0.175,2.64,-11.83,-0.19,Benzocyclobutane,,,,,,,,,
165,26.75,46.33,50.72,0.73,7.28,35.89,HFSS,2.6,1.5,2.59,-20.84,-0.46,Benzocyclobutane,,,,,,,,,
166,27.98,41.03,42.81,0.25,6.95,35.89,HFSS,2.6,1.5,2.59,-10.94,-0.26,Benzocyclobutane,,,,,,,,,
167,20.74,38.94,36.72,0.48,5.06,31,HFSS,2.6,0.175,3.00,-22.34,-0.92,Benzocyclobutane,,,,,,,,,
168,33.54,40.17,48.34,0.64,9.28,35.89,HFSS,2.6,1.5,2.59,-10.49,0.53,Benzocyclobutane,,,,,,,,,
169,33.48,26.13,40.73,0.39,6.76,31,HFSS,2.6,0.175,3.00,-11.23,1.16,Benzocyclobutane,,,,,,,,,
170,34.96,39.44,49.20,0.49,7.90,35.89,HFSS,2.6,1.5,2.59,-23.25,0.71,Benzocyclobutane,,,,,,,,,
171,26.26,46.36,34.84,0.08,6.29,35.26,HFSS,2.6,0.175,2.64,-23.48,-0.46,Benzocyclobutane,,,,,,,,,
172,40.28,57.04,49.15,0.24,7.26,35.89,HFSS,2.6,1.5,2.59,-7.97,1.32,Benzocyclobutane,,,,,,,,,
173,28.70,25.75,37.40,0.75,3.94,31,HFSS,2.6,0.175,3.00,-19.38,0.49,Benzocyclobutane,,,,,,,,,
174,21.48,42.80,35.53,0.08,4.86,35.26,HFSS,2.6,0.175,2.64,-19.75,-1.33,Benzocyclobutane,,,,,,,,,
175,47.51,58.64,48.51,0.75,4.72,40.47,HFSS,2.6,1.58,2.30,-26.74,1.52,Benzocyclobutane,,,,,,,,,
176,24.91,46.31,41.98,0.25,3.93,31,HFSS,2.6,0.175,3.00,-14.66,-0.13,Benzocyclobutane,,,,,,,,,
177,31.88,52.01,35.82,0.37,6.75,35.89,HFSS,2.6,1.5,2.59,-18.63,0.31,Benzocyclobutane,,,,,,,,,
178,37.85,56.25,43.82,0.48,8.84,35.89,HFSS,2.6,1.5,2.59,-16.69,1.05,Benzocyclobutane,,,,,,,,,
179,37.76,61.71,47.33,0.75,8.36,35.89,HFSS,2.6,1.5,2.59,-10.32,1.04,Benzocyclobutane,,,,,,,,,
180,33.88,49.49,51.39,0.26,5.90,35.89,HFSS,2.6,1.5,2.59,-15.80,0.57,Benzocyclobutane,,,,,,,,,
181,44.14,46.25,35.15,0.74,6.05,35.89,HFSS,2.6,1.5,2.59,-16.52,1.72,Benzocyclobutane,,,,,,,,,
182,25.16,43.40,42.39,0.24,3.96,31,HFSS,2.6,0.175,3.00,-19.01,-0.08,Benzocyclobutane,,,,,,,,,
183,27.98,40.63,45.98,0.24,6.96,35.89,HFSS,2.6,1.5,2.59,-12.14,-0.26,Benzocyclobutane,,,,,,,,,
184,26.46,45.89,37.75,0.11,7.98,35.26,HFSS,2.6,0.175,2.64,-21.10,-0.43,Benzocyclobutane,,,,,,,,,
185,33.73,61.65,42.96,0.73,7.90,35.89,HFSS,2.6,1.5,2.59,-22.14,0.55,Benzocyclobutane,,,,,,,,,
186,27.33,33.96,47.77,0.60,4.71,35.26,HFSS,2.6,0.175,2.64,-22.30,-0.28,Benzocyclobutane,,,,,,,,,
187,36.15,43.51,36.00,0.78,4.97,31,HFSS,2.6,0.175,3.00,-11.77,1.49,Benzocyclobutane,,,,,,,,,
188,38.85,43.14,34.44,0.12,6.28,35.26,HFSS,2.6,0.175,2.64,-21.75,1.24,Benzocyclobutane,,,,,,,,,
189,26.84,44.80,35.20,0.12,3.89,35.26,HFSS,2.6,0.175,2.64,-29.90,-0.36,Benzocyclobutane,,,,,,,,,
190,47.60,49.33,50.74,1.08,7.09,40.47,HFSS,2.6,1.58,2.30,-23.38,1.53,Benzocyclobutane,,,,,,,,,
191,55.74,57.62,48.07,0.36,1.56,35.26,HFSS,2.6,0.175,2.64,-11.36,2.81,Benzocyclobutane,,,,,,,,,
192,17.79,36.44,46.12,0.36,2.31,35.26,HFSS,2.6,0.175,2.64,-26.82,-2.15,Benzocyclobutane,,,,,,,,,
193,28.44,52.83,55.62,0.63,8.42,35.89,HFSS,2.6,1.5,2.59,-14.79,-0.19,Benzocyclobutane,,,,,,,,,
194,32.13,43.25,37.95,0.08,7.00,35.26,HFSS,2.6,0.175,2.64,-23.28,0.42,Benzocyclobutane,,,,,,,,,
195,37.98,23.26,47.29,0.75,2.32,35.26,HFSS,2.6,0.175,2.64,-11.26,1.14,Benzocyclobutane,,,,,,,,,
196,37.95,70.26,42.43,0.65,1.55,35.26,HFSS,2.6,0.175,2.64,-9.81,1.14,Benzocyclobutane,,,,,,,,,
197,32.52,46.01,35.42,0.10,7.64,35.26,HFSS,2.6,0.175,2.64,-10.65,0.47,Benzocyclobutane,,,,,,,,,
198,18.45,33.92,43.76,0.38,2.24,35.26,HFSS,2.6,0.175,2.64,-12.94,-1.99,Benzocyclobutane,,,,,,,,,
199,33.89,44.26,37.88,0.08,7.09,35.26,HFSS,2.6,0.175,2.64,-18.14,0.65,Benzocyclobutane,,,,,,,,,
200,36.30,33.63,44.32,0.48,3.35,31,HFSS,2.6,0.175,3.00,-28.38,1.51,Benzocyclobutane,,,,,,,,,
201,28.90,52.39,32.71,0.63,3.39,31,HFSS,2.6,0.175,3.00,-8.01,0.52,Benzocyclobutane,,,,,,,,,
202,42.61,55.39,50.76,0.38,8.03,35.89,HFSS,2.6,1.5,2.59,-13.01,1.57,Benzocyclobutane,,,,,,,,,
203,21.34,44.11,35.61,0.10,5.73,35.26,HFSS,2.6,0.175,2.64,-22.93,-1.36,Benzocyclobutane,,,,,,,,,
204,37.95,22.70,49.36,0.74,2.17,35.26,HFSS,2.6,0.175,2.64,-27.68,1.14,Benzocyclobutane,,,,,,,,,
205,43.59,46.04,36.18,0.08,4.09,35.26,HFSS,2.6,0.175,2.64,-6.45,1.74,Benzocyclobutane,,,,,,,,,
206,29.86,51.88,47.73,1.23,5.15,40.47,HFSS,2.6,1.58,2.30,-18.87,-0.50,Benzocyclobutane,,,,,,,,,
207,26.18,45.10,35.50,0.12,3.92,35.26,HFSS,2.6,0.175,2.64,-21.40,-0.47,Benzocyclobutane,,,,,,,,,
208,42.11,63.51,50.07,0.49,6.59,35.89,HFSS,2.6,1.5,2.59,-29.40,1.52,Benzocyclobutane,,,,,,,,,
209,55.00,66.84,53.34,0.49,2.19,35.26,HFSS,2.6,0.175,2.64,-10.27,2.75,Benzocyclobutane,,,,,,,,,
210,40.72,38.94,53.57,0.64,8.70,35.89,HFSS,2.6,1.5,2.59,-13.37,1.37,Benzocyclobutane,,,,,,,,,
211,31.66,57.92,50.86,0.62,5.86,40.47,HFSS,2.6,1.58,2.30,-19.10,-0.24,Benzocyclobutane,,,,,,,,,
