Experiment,width of patch,width of substrate,length of substrate,width of slot,Length of slot,Length of patch,Simulation tool used,Dielectric constant,Thickness of substrate,Resultant Frequency (GHz),Return Loss (S11) dB,gain (dBi),Substrate Material,,,,,,,,,
92,37.88,43.97,37.36,0.094,4,35.26,CST,3.8,0.175,2.43,-17,5.38,PET,,,,,,,,,
93,37.88,44.44,35.5,0.11,5,35.26,CST,3.8,0.175,2.765,-0.78,0.3,PET,,,,,,,,,
94,37.88,44.92,35.9,0.125,6,35.26,CST,3.8,0.175,2.75,-2.05,0.1,PET,,,,,,,,,
95,37.88,45.39,36.43,0.0625,7,35.26,CST,3.8,0.175,2.435,-13.5,4.75,PET,,,,,,,,,
96,43.29,43.5,37.36,0.11,6,35.26,CST,3.8,0.175,2.43,-23.25,5.52,PET,,,,,,,,,
97,43.29,43.97,35.5,0.125,7,35.26,CST,3.8,0.175,2.7,-1.5,0.3,PET,,,,,,,,,
98,43.29,44.44,35.9,0.0625,8,35.26,CST,3.8,0.175,2.63,-2.3,0.3,PET,,,,,,,,,
99,43.29,44.92,36.43,0.078,4,35.26,CST,3.8,0.175,2.43,-18.46,5.12,PET,,,,,,,,,
100,43.29,45.39,36.89,0.094,5,35.26,CST,3.8,0.175,2.43,-20.89,5.32,PET,,,,,,,,,
101,18.63,23.4,39.26,0.25,1.515,35.26,CST,3.8,0.175,2.44,-24.93,0.1,PET,,,,,,,,,
102,18.63,35.1,44.17,0.37,2.27,35.26,CST,3.8,0.175,2.48,-20.02,3,PET,,,,,,,,,
103,18.63,46.8,49.07,0.5,3.03,35.26,CST,3.8,0.175,2.48,-11.8,3.2,PET,,,,,,,,,
104,18.63,58.5,53.83,0.62,3.79,35.26,CST,3.8,0.175,2.54,-10.96,4,PET,,,,,,,,,
105,18.63,70.2,58.89,0.75,4.545,35.26,CST,3.8,0.175,2.58,-12.7,0.01,PET,,,,,,,,,
106,27.94,23.4,44.17,0.5,3.79,35.26,CST,3.8,0.175,2.42,-23.69,4.43,PET,,,,,,,,,
107,27.94,35.1,49.07,0.62,4.545,35.26,CST,3.8,0.175,2.44,-28.71,4,PET,,,,,,,,,
108,27.94,46.8,53.83,0.75,1.515,35.26,CST,3.8,0.175,2.38,-8.91,3,PET,,,,,,,,,
109,27.94,58.5,58.89,0.25,2.27,35.26,CST,3.8,0.175,2.4,-29.32,0.1,PET,,,,,,,,,
110,27.94,70.2,39.26,0.37,3.03,35.26,CST,3.8,0.175,2.42,-23.81,4.51,PET,,,,,,,,,
111,37.26,23.4,49.07,0.75,2.27,35.26,CST,3.8,0.175,2.4,-10.76,4.83,PET,,,,,,,,,
112,37.26,35.1,53.83,0.25,3.03,35.26,CST,3.8,0.175,2.38,-14.39,5.22,PET,,,,,,,,,
113,37.26,46.8,58.89,0.37,3.79,35.26,CST,3.8,0.175,2.36,-16.44,4.83,PET,,,,,,,,,
114,37.26,58.5,39.26,0.5,4.545,35.26,CST,3.8,0.175,2.36,-23.7,5.22,PET,,,,,,,,,
115,37.26,70.2,44.17,0.62,1.515,35.26,CST,3.8,0.175,2.3,-7.64,5.15,PET,,,,,,,,,
116,46.57,23.4,53.83,0.37,4.545,35.26,CST,3.8,0.175,2.3,-29.79,6.75,PET,,,,,,,,,
117,46.57,35.1,58.89,0.5,1.515,35.26,CST,3.8,0.175,2.32,-10.89,6.56,PET,,,,,,,,,
118,46.57,46.8,39.26,0.62,2.27,35.26,CST,3.8,0.175,2.26,-8.08,6.35,PET,,,,,,,,,
119,46.57,58.5,44.17,0.75,3.03,35.26,CST,3.8,0.175,2.56,-22.19,6,PET,,,,,,,,,
120,46.57,70.2,49.07,0.25,3.79,35.26,CST,3.8,0.175,2.34,-14.96,4,PET,,,,,,,,,
121,55.89,23.4,58.89,0.62,3.03,35.26,CST,3.8,0.175,2.66,-22.45,6.48,PET,,,,,,,,,
122,55.89,35.1,39.26,0.75,3.79,35.26,CST,3.8,0.175,2.48,-18.94,6.27,PET,,,,,,,,,
123,55.89,46.8,44.17,0.25,4.545,35.26,CST,3.8,0.175,2.32,-19.98,6,PET,,,,,,,,,
124,55.89,58.5,49.07,0.37,1.515,35.26,CST,3.8,0.175,2.58,-10.89,3,PET,,,,,,,,,
125,55.89,70.2,53.83,0.5,2.27,35.26,CST,3.8,0.175,2.58,-18.99,6,PET,,,,,,,,,
126,24.185,48.5,41.235,0.625,4.925,40.47,CST,2.2,1.58,2.52,-2.68,6,RT duroid,,,,,,,,,
127,24.185,51.4675,44.044,0.78125,6.16,40.47,CST,2.2,1.58,2.5,-2.57,6,RT duroid,,,,,,,,,
128,24.185,54.435,46.85,0.9375,7.387,40.47,CST,2.2,1.58,2.5,-2.82,3,RT duroid,,,,,,,,,
129,24.185,57.4,49.66,1.094,8.62,40.47,CST,2.2,1.58,2.54,-3.12,6.75,RT duroid,,,,,,,,,
130,24.185,60.37,52.47,1.25,9.85,40.47,CST,2.2,1.58,2.55,-3.45,6.56,RT duroid,,,,,,,,,
131,30.2313,48.5,44.044,0.9375,8.62,40.47,CST,2.2,1.58,2.5,-5.26,6.35,RT duroid,,,,,,,,,
132,30.2313,51.4675,46.85,1.094,9.85,40.47,CST,2.2,1.58,2.5062,-6.37,6,RT duroid,,,,,,,,,
133,30.2313,54.435,49.66,1.25,4.925,40.47,CST,2.2,1.58,2.47,-3.94,4,RT duroid,,,,,,,,,
134,30.2313,57.4,52.47,0.625,6.16,40.47,CST,2.2,1.58,2.48,-3.8,6.48,RT duroid,,,,,,,,,
135,30.2313,60.37,41.235,0.78125,7.387,40.47,CST,2.2,1.58,3.17,-5.06,6.27,RT duroid,,,,,,,,,
136,36.2775,48.5,46.85,1.25,6.16,40.47,CST,2.2,1.58,2.46,-7.14,6,RT duroid,,,,,,,,,
137,36.2775,51.4675,49.66,0.625,7.387,40.47,CST,2.2,1.58,2.465,-6.8,3,RT duroid,,,,,,,,,
138,36.2775,54.435,52.47,0.78125,8.62,40.47,CST,2.2,1.58,2.475,-7.39,6,RT duroid,,,,,,,,,
139,36.2775,57.4,41.235,0.9375,9.85,40.47,CST,2.2,1.58,3.34,-6.557,6,RT duroid,,,,,,,,,
140,36.2775,60.37,44.044,1.094,4.925,40.47,CST,2.2,1.58,2.45,-5.65,6,RT duroid,,,,,,,,,
141,42.324,48.5,49.66,0.78125,9.85,40.47,CST,2.2,1.58,2.45,-15.43,3,RT duroid,,,,,,,,,
142,42.324,51.4675,52.47,0.9375,4.925,40.47,CST,2.2,1.58,2.44,-8,4.83,RT duroid,,,,,,,,,
143,42.324,54.435,41.235,1.094,6.16,40.47,CST,2.2,1.58,3.2,-6.74,5.22,RT duroid,,,,,,,,,
144,42.324,57.4,44.044,1.25,7.387,40.47,CST,2.2,1.58,2.45,-9.9,5.15,RT duroid,,,,,,,,,
145,42.324,60.37,46.85,0.625,8.62,40.47,CST,2.2,1.58,2.45,-10.458,5.38,RT duroid,,,,,,,,,
146,48.37,48.5,52.47,1.094,7.387,40.47,CST,2.2,1.58,2.44,-18.63,0.3,RT duroid,,,,,,,,,
147,48.37,51.4675,41.235,1.25,8.62,40.47,CST,2.2,1.58,3.19,-6.61,0.1,RT duroid,,,,,,,,,
148,48.37,54.435,44.044,0.625,9.85,40.47,CST,2.2,1.58,2.435,-19.94,4.75,RT duroid,,,,,,,,,
149,48.37,57.4,46.85,0.78125,4.925,40.47,CST,2.2,1.58,2.42,-10.54,3,RT duroid,,,,,,,,,
150,48.37,60.37,49.66,0.9375,6.16,40.47,CST,2.2,1.58,2.43,-11.155,6,RT duroid,,,,,,,,,
151,22.49842353,46.48264068,45.90639682,0.370402802,8.77305311,35.89,HFSS,2.6,1.5,2.590184,-19.23252599,-1.206448456,Benzocyclobutane,,,,,,,,,
152,26.74694186,64.85405073,38.4062362,0.371160052,5.684997025,35.89,HFSS,2.6,1.5,2.590184,-18.22556161,-0.455228,Benzocyclobutane,,,,,,,,,
153,40.73531509,56.66791238,41.62379313,1.122692786,6.072625127,40.47,HFSS,2.6,1.58,2.297052,-11.8782462,0.850144003,Benzocyclobutane,,,,,,,,,
154,35.08839401,31.92575612,44.43456236,0.518400439,3.33534275,31,HFSS,2.6,0.175,2.998764,-9.21650335,1.35978322,Benzocyclobutane,,,,,,,,,
155,22.36254037,57.1190335,54.5232036,0.733060798,6.493737395,35.89,HFSS,2.6,1.5,2.590184,-25.0378695,-1.23275796,Benzocyclobutane,,,,,,,,,
156,41.53263963,45.61213854,34.96440927,0.081554421,4.155133979,35.26,HFSS,2.6,0.175,2.636463,-5.877344475,1.532837506,Benzocyclobutane,,,,,,,,,
157,40.29232684,48.9579827,48.39109888,0.743965588,9.385654431,40.47,HFSS,2.6,1.58,2.297052,-29.01028835,0.802656685,Benzocyclobutane,,,,,,,,,
158,19.09167836,25.74197059,30.41504723,0.246022151,3.305649624,31,HFSS,2.6,0.175,2.998764,-21.08742292,-1.2834106,Benzocyclobutane,,,,,,,,,
159,20.72964441,30.78680981,32.8233957,0.36237795,4.028082746,31,HFSS,2.6,0.175,2.998764,-11.378996,-0.925933167,Benzocyclobutane,,,,,,,,,
160,27.55047898,39.06104912,44.96103719,0.261240287,6.733279097,35.89,HFSS,2.6,1.5,2.590184,-18.58944276,-0.3266778,Benzocyclobutane,,,,,,,,,
161,24.00662665,47.17080905,42.61532115,0.25256024,3.945337131,31,HFSS,2.6,0.175,2.998764,-6.978895398,-0.288540307,Benzocyclobutane,,,,,,,,,
162,43.66261985,58.89445762,45.6971907,0.640606363,8.398376019,40.47,HFSS,2.6,1.58,2.297052,-25.69063566,1.151531111,Benzocyclobutane,,,,,,,,,
163,39.71299582,53.12906014,39.6175507,0.482776718,3.874218979,31,HFSS,2.6,0.175,2.998764,-12.25970538,1.89747481,Benzocyclobutane,,,,,,,,,
164,27.91584883,55.9765336,60.24544754,0.253144451,2.186602555,35.26,HFSS,2.6,0.175,2.636463,-11.83269228,-0.192549453,Benzocyclobutane,,,,,,,,,
165,26.74801117,46.32692607,50.72391843,0.730695506,7.278576361,35.89,HFSS,2.6,1.5,2.590184,-20.84000348,-0.455054378,Benzocyclobutane,,,,,,,,,
166,27.97910623,41.02975048,42.8060255,0.251074276,6.949172999,35.89,HFSS,2.6,1.5,2.590184,-10.94109117,-0.259630963,Benzocyclobutane,,,,,,,,,
167,20.73532112,38.93898692,36.72401842,0.477060456,5.057653154,31,HFSS,2.6,0.175,2.998764,-22.34127924,-0.924744037,Benzocyclobutane,,,,,,,,,
168,33.53514297,40.17175466,48.33663455,0.642045541,9.275329063,35.89,HFSS,2.6,1.5,2.590184,-10.49197446,0.527032286,Benzocyclobutane,,,,,,,,,
169,33.47999702,26.12702686,40.72512911,0.388406021,6.758261647,31,HFSS,2.6,0.175,2.998764,-11.22768073,1.156002416,Benzocyclobutane,,,,,,,,,
170,34.96104427,39.44125137,49.19559273,0.494010284,7.902165134,35.89,HFSS,2.6,1.5,2.590184,-23.25109968,0.707874627,Benzocyclobutane,,,,,,,,,
171,26.25769404,46.36010027,34.83706736,0.080890498,6.291820499,35.26,HFSS,2.6,0.175,2.636463,-23.47790384,-0.458491996,Benzocyclobutane,,,,,,,,,
172,40.28105738,57.03674155,49.14770441,0.239909132,7.263790818,35.89,HFSS,2.6,1.5,2.590184,-7.96677429,1.323039286,Benzocyclobutane,,,,,,,,,
173,28.70211667,25.74878702,37.40076619,0.749560801,3.935558068,31,HFSS,2.6,0.175,2.998764,-19.37943541,0.487287564,Benzocyclobutane,,,,,,,,,
174,21.48401769,42.79988553,35.53394917,0.080560112,4.855210606,35.26,HFSS,2.6,0.175,2.636463,-19.75424503,-1.329902819,Benzocyclobutane,,,,,,,,,
175,47.50502166,58.64408422,48.51476696,0.750673207,4.717152782,40.47,HFSS,2.6,1.58,2.297052,-26.74452262,1.517828408,Benzocyclobutane,,,,,,,,,
176,24.90689011,46.30550327,41.98173451,0.248045647,3.925062846,31,HFSS,2.6,0.175,2.998764,-14.66420632,-0.128656644,Benzocyclobutane,,,,,,,,,
177,31.88167631,52.00708712,35.81563844,0.36584091,6.753308177,35.89,HFSS,2.6,1.5,2.590184,-18.6252955,0.307442145,Benzocyclobutane,,,,,,,,,
178,37.84546921,56.25075003,43.82084819,0.483921094,8.839882537,35.89,HFSS,2.6,1.5,2.590184,-16.69235662,1.052169604,Benzocyclobutane,,,,,,,,,
179,37.75992052,61.70834181,47.33229421,0.754732259,8.355496548,35.89,HFSS,2.6,1.5,2.590184,-10.32291724,1.042341379,Benzocyclobutane,,,,,,,,,
180,33.88111865,49.48624368,51.39047663,0.262272825,5.895630403,35.89,HFSS,2.6,1.5,2.590184,-15.79851705,0.571608073,Benzocyclobutane,,,,,,,,,
181,44.13576421,46.25008497,35.147854,0.744959672,6.049194959,35.89,HFSS,2.6,1.5,2.590184,-16.52241012,1.719937172,Benzocyclobutane,,,,,,,,,
182,25.15919066,43.3993774,42.39131951,0.240667026,3.959964093,31,HFSS,2.6,0.175,2.998764,-19.00978439,-0.084885028,Benzocyclobutane,,,,,,,,,
183,27.98378402,40.63097855,45.97840393,0.244665581,6.96090575,35.89,HFSS,2.6,1.5,2.590184,-12.13580664,-0.258904934,Benzocyclobutane,,,,,,,,,
184,26.45835495,45.88982206,37.75262765,0.106136192,7.983672155,35.26,HFSS,2.6,0.175,2.636463,-21.09996627,-0.425429448,Benzocyclobutane,,,,,,,,,
185,33.73452526,61.65362711,42.96261976,0.727387646,7.900713734,35.89,HFSS,2.6,1.5,2.590184,-22.14409603,0.552776692,Benzocyclobutane,,,,,,,,,
186,27.32855986,33.95784485,47.76721219,0.603149937,4.710152236,35.26,HFSS,2.6,0.175,2.636463,-22.29752352,-0.284890371,Benzocyclobutane,,,,,,,,,
187,36.14687248,43.50909272,36.00164562,0.784691064,4.965440201,31,HFSS,2.6,0.175,2.998764,-11.76757172,1.488855579,Benzocyclobutane,,,,,,,,,
188,38.84829224,43.14117023,34.44111198,0.118765997,6.284098713,35.26,HFSS,2.6,0.175,2.636463,-21.75486638,1.242661489,Benzocyclobutane,,,,,,,,,
189,26.84398009,44.802433,35.1987196,0.121292509,3.890742226,35.26,HFSS,2.6,0.175,2.636463,-29.90143446,-0.362588752,Benzocyclobutane,,,,,,,,,
190,47.5978158,49.33296931,50.74367789,1.078126846,7.092726387,40.47,HFSS,2.6,1.58,2.297052,-23.38238626,1.526303443,Benzocyclobutane,,,,,,,,,
191,55.74164046,57.62410668,48.06968698,0.362870939,1.555317242,35.26,HFSS,2.6,0.175,2.636463,-11.36483885,2.810739625,Benzocyclobutane,,,,,,,,,
192,17.79009889,36.43969685,46.11991661,0.357741066,2.30926655,35.26,HFSS,2.6,0.175,2.636463,-26.81539562,-2.149274212,Benzocyclobutane,,,,,,,,,
193,28.444712,52.82678031,55.62135344,0.625094435,8.422530331,35.89,HFSS,2.6,1.5,2.590184,-14.79185319,-0.187953927,Benzocyclobutane,,,,,,,,,
194,32.13317054,43.24880308,37.95373156,0.07526684,7.003905526,35.26,HFSS,2.6,0.175,2.636463,-23.27567183,0.418477957,Benzocyclobutane,,,,,,,,,
195,37.97852926,23.25533695,47.29028542,0.750257669,2.323086639,35.26,HFSS,2.6,0.175,2.636463,-11.25771216,1.144323592,Benzocyclobutane,,,,,,,,,
196,37.95256274,70.25547376,42.43325464,0.649910622,1.548574984,35.26,HFSS,2.6,0.175,2.636463,-9.808202231,1.141353236,Benzocyclobutane,,,,,,,,,
197,32.51965282,46.0118501,35.41952634,0.096985627,7.642241763,35.26,HFSS,2.6,0.175,2.636463,-10.64913674,0.470401172,Benzocyclobutane,,,,,,,,,
198,18.45497115,33.91585273,43.76262902,0.383750875,2.235956899,35.26,HFSS,2.6,0.175,2.636463,-12.93748064,-1.989924125,Benzocyclobutane,,,,,,,,,
199,33.89192443,44.26116535,37.87950066,0.075695029,7.091637449,35.26,HFSS,2.6,0.175,2.636463,-18.14091295,0.649904461,Benzocyclobutane,,,,,,,,,
200,36.29518675,33.63394368,44.31694849,0.478251289,3.354924038,31,HFSS,2.6,0.175,2.998764,-28.37996052,1.506638662,Benzocyclobutane,,,,,,,,,
